usuario,cancion,genero,reproducciones,skips,duracion_segundos,pais,edad_usuario
u01,Blue Night,Pop,45,8,210,España,22
u02,Synth Wave,Techno,67,3,290,Alemania,29
u03,Classic Heart,Rock,38,5,245,Italia,34
u04,Summer Dreams,Pop,52,4,198,España,21
u05,Deep Horizon,Techno,81,6,320,Francia,27
u06,Electric Pulse,EDM,40,12,185,Portugal,24
u07,Old Train,Country,25,9,240,EEUU,45
u08,Lost Memory,Pop,64,5,205,España,20
u09,Sunrise Loop,Techno,75,2,275,Reino Unido,31
u10,Quiet Soul,Jazz,28,7,300,Francia,38
u11,Retro Dance,Techno,59,4,260,Alemania,26
u12,Heart Beats,Pop,62,3,195,España,23
u13,Hard Street,Rap,47,6,210,EEUU,30
u14,Soft Rain,Clásica,22,1,330,Italia,41
u15,Power Guitar,Rock,58,7,245,España,25
u16,Golden Bass,EDM,73,5,305,Portugal,28
u17,Melodic Sky,Pop,54,2,210,España,19
u18,Silent Code,Techno,68,4,270,Francia,32
u19,Modern Soul,Soul,37,3,260,EEUU,35
u20,Deep Sea,Techno,84,5,315,Alemania,27
u21,Retro Lights,Pop,49,6,195,España,24
u22,Desert Drive,Rock,61,3,280,Italia,33
u23,Future Beat,EDM,66,5,295,Portugal,29
u24,Digital Dreams,Techno,78,4,275,Francia,31
u25,Chill Sunset,Pop,52,6,210,España,22
u26,Dark Waves,Techno,80,2,330,Alemania,28
u27,Shadow Lines,Rock,57,4,255,Italia,26
u28,Infinity Groove,EDM,70,3,310,Portugal,30
u29,Wild Streets,Rap,49,5,220,EEUU,34
u30,Silent Moon,Clásica,24,1,340,Italia,40
u31,Summer Wind,Pop,55,5,205,España,21
u32,Neon Path,Techno,72,3,295,Alemania,25
u33,Soft Piano,Clásica,33,0,355,Francia,39
u34,Red Horizon,Rock,60,4,240,España,23
u35,Bass Drop,EDM,77,6,315,Portugal,27
u36,Desire,Rap,44,8,210,EEUU,31
u37,Melody Star,Pop,63,2,200,España,20
u38,High Voltage,Rock,59,3,265,Italia,29
u39,Deep City,Techno,82,4,300,Alemania,26
u40,Golden Sky,Pop,47,5,215,España,24
u41,Retro Vibes,EDM,69,4,305,Portugal,33
u42,Cloud Dream,Techno,74,3,285,Francia,28
u43,Old Blues,Blues,31,2,280,EEUU,48
u44,Ocean Drive,Pop,50,7,210,España,19
u45,Electro Mind,Techno,79,3,295,Alemania,27
u46,Sweet Voice,Soul,36,2,260,EEUU,36
u47,Soft Shadows,Pop,62,4,205,España,20
u48,Neon Bass,EDM,71,5,310,Portugal,29
u49,Urban Flow,Rap,53,6,230,EEUU,32
u50,Digital Life,Techno,85,2,300,Alemania,25
